id,age,margins,districts_and_neighborhoods,periods,municipality,region_type,big_or_small,underweight,overweight,severe_overweight,smoker,drinker,heavy_drinker,severe_drinker,one_or_more_long-term_conditions,restricted_because_of_health,long-term_illnesses_and-limited,moderate_high-risk_anxiety_depression,lonely,very_serious_lonely,emotionally_lonely,experienced_health_good_very_good,weekly_athletes,visual_restriction,motor_restriction,socially_lonely,normal_weight,complies_with_alcohol_directive,severely_restricted-due_to_health,comply_with_exercise_guideline,high-risk_anxiety_depression,hearing_restriction
157526,53115,MW00000,BU04840305,2020JJ00,Alphen aan den Rijn                     ,Buurt     ,S,1.9,50.7,14.4,15.7,84.3,7.2,5.2,25.7,21.9,20.5,45.7,41.1,8.3,24.2,86.7,54.9,3.1,3.0,23.8,48.3,40.1,2.6,51.7,5.2,2.2
157529,53115,MW00000,BU04840306,2020JJ00,Alphen aan den Rijn                     ,Buurt     ,S,2.3,53.1,18.2,21.6,63.1,6.8,4.7,31.6,30.0,27.9,55.7,57.2,16.8,38.4,76.6,43.6,8.1,9.6,37.2,45.4,56.5,6.4,49.3,10.6,6.2
157532,53115,MW00000,BU04840307,2020JJ00,Alphen aan den Rijn                     ,Buurt     ,S,1.6,47.1,11.9,14.1,88.9,8.9,8.0,27.2,23.4,21.5,38.6,41.5,9.3,22.2,86.9,57.6,3.6,3.0,26.4,52.1,32.6,2.9,52.9,3.4,2.1
157538,53115,MW00000,BU04840401,2020JJ00,Alphen aan den Rijn                     ,Buurt     ,S,1.9,49.1,13.5,27.4,85.1,11.5,8.7,28.8,28.0,26.6,49.6,48.7,13.3,31.6,81.7,47.2,4.6,4.5,32.2,48.6,32.8,4.5,49.3,9.4,4.2
157541,53115,MW00000,BU04840402,2020JJ00,Alphen aan den Rijn                     ,Buurt     ,S,2.0,49.0,15.1,22.0,81.8,8.1,6.5,30.3,26.8,25.0,51.3,52.4,13.4,33.9,81.8,50.0,4.1,5.3,32.5,49.5,42.6,4.0,49.9,7.6,3.4
157544,53115,MW00000,BU04840403,2020JJ00,Alphen aan den Rijn                     ,Buurt     ,S,2.1,51.0,17.0,22.4,76.3,8.3,6.0,29.7,27.4,25.6,52.8,52.6,14.2,34.7,80.2,47.5,5.9,6.8,33.4,47.7,46.6,4.7,49.8,8.8,4.3
157547,53115,MW00000,BU04840404,2020JJ00,Alphen aan den Rijn                     ,Buurt     ,S,2.3,50.9,16.5,22.3,81.4,8.6,5.9,28.7,26.0,24.1,52.3,51.2,13.1,33.6,81.5,48.1,4.6,5.3,31.7,47.6,42.6,4.3,49.6,8.2,3.7
157550,53115,MW00000,BU04840405,2020JJ00,Alphen aan den Rijn                     ,Buurt     ,S,2.3,51.2,18.3,26.7,79.3,9.6,8.1,35.5,33.8,32.1,55.4,54.5,16.0,37.5,75.5,45.6,6.2,9.7,34.5,47.4,44.0,7.5,48.4,10.3,5.0
157556,53115,MW00000,BU04840501,2020JJ00,Alphen aan den Rijn                     ,Buurt     ,S,2.3,48.9,16.2,24.1,80.1,9.0,6.4,29.0,26.9,25.1,54.2,50.8,13.0,33.9,80.7,49.2,5.0,6.4,31.1,49.0,42.8,4.5,51.8,9.1,3.8
157559,53115,MW00000,BU04840502,2020JJ00,Alphen aan den Rijn                     ,Buurt     ,S,2.1,46.3,13.5,18.6,85.0,8.5,6.5,28.2,23.9,22.4,47.7,45.3,10.2,28.2,83.9,54.9,3.8,4.3,27.6,52.1,38.6,3.6,54.1,6.4,2.8
157562,53115,MW00000,BU04840503,2020JJ00,Alphen aan den Rijn                     ,Buurt     ,S,2.6,43.5,13.4,25.4,82.8,10.0,6.6,27.0,24.2,22.1,55.1,51.5,13.0,35.5,82.3,56.3,4.2,5.0,30.6,54.0,38.9,4.0,53.8,9.1,3.4
157565,53115,MW00000,BU04840504,2020JJ00,Alphen aan den Rijn                     ,Buurt     ,S,2.3,45.8,13.2,19.0,86.6,8.6,5.8,25.1,21.6,19.8,48.2,44.4,9.2,27.1,85.8,56.1,3.5,3.4,25.8,52.5,37.8,2.7,54.4,6.0,2.4
