,id,age,margins,districts_and_neighborhoods,periods,municipality,region_type,underweight,normaalgewicht_8,overweight,severe_overweight,smoker,complies with alcohol directive,drinker,heavy_drinker,severe_drinker,one_or_more_long-term_conditions,restricted_because_of_health,ernstigbeperktvanwegegezondheid_18,long-term_illnesses_and-limited,moderate_high-risk_anxiety_depression, high-risk_anxiety_depression,lonely,very_serious_lonely,emotionally_lonely,experienced_health_good_very_good,voldoetaanbeweegrichtlijn_5,weekly_athletes, hearing_restriction,visual_restriction,motor_restriction,socially_lonely
215,156719,53115,MW00000,BU06130623,2020JJ00,Albrandswaard                           ,Buurt     ,1.7,44.9,53.9,15.9,16,49.7,77.4,5.9,3.3,25,21.8,3.2,19.9,44.5,6.9,43.7,10.3,26.2,84.2,47.1,56,2.9,4,4.9,28.3
216,156722,53115,MW00000,BU06130624,2020JJ00,Albrandswaard                           ,Buurt     ,1.7,44.7,54.3,15.6,14.6,48.2,78.3,5.9,3.4,24.4,20.7,2.6,18.9,42.8,5.6,41.9,8.9,24.1,85.8,46.9,57.1,2.5,3.6,3.8,27
217,156725,53115,MW00000,BU06130625,2020JJ00,Albrandswaard                           ,Buurt     ,1.6,51.5,47.1,11,10.3,43.1,84.9,7.5,5.3,20.7,16.7,1.4,15.5,38.8,3.5,36.3,6,19.3,90.5,49.2,64.3,1.4,2.5,1.8,22.3
218,156728,53115,MW00000,BU06130626,2020JJ00,Albrandswaard                           ,Buurt     ,2,46,52,15.3,14.4,47.9,80.4,6.6,3.8,25.6,21.8,2.8,20.1,43.8,6,44,9.7,26.3,84.6,47.6,56.8,2.6,3.9,4.4,28
219,156731,53115,MW00000,WK061307  ,2020JJ00,Albrandswaard                           ,Wijk      ,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .
220,156734,53115,MW00000,BU06130706,2020JJ00,Albrandswaard                           ,Buurt     ,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .
454,157436,53115,MW00000,GM0484    ,2020JJ00,Alphen aan den Rijn                     ,Gemeente  ,2,49.7,48.9,14.6,18.3,41.4,81.6,8.1,5.8,27.3,24.1,3.6,22.5,48.3,6.6,45.2,10.4,27.7,84.1,51.6,53.6,3.2,4.1,4.7,27.7
455,157439,53115,MW00000,WK048401  ,2020JJ00,Alphen aan den Rijn                     ,Wijk      ,1.9,48.2,50.8,15.5,18.4,44.8,78.5,7.7,5.6,28.1,25.1,4,23.4,49.4,6.9,46.7,11.3,29.4,83.1,51.1,52.8,3.3,4.6,5.4,29.2
456,157442,53115,MW00000,BU04840101,2020JJ00,Alphen aan den Rijn                     ,Buurt     ,2.2,55.5,42.7,10.9,16.8,33.9,87.7,10,7,22.9,19.1,2,17.6,46,4.2,41.9,8.5,25.2,88.4,51.2,56.6,2,2.7,2.1,26.1
457,157445,53115,MW00000,BU04840102,2020JJ00,Alphen aan den Rijn                     ,Buurt     ,2.2,56.6,41.3,9,10.7,33.9,87.6,10.1,8.2,22.6,19.1,1.8,17.6,38.6,2.7,35.2,5.8,17.5,90.7,53.3,64.4,1.4,2.8,2.1,21.9
458,157448,53115,MW00000,BU04840103,2020JJ00,Alphen aan den Rijn                     ,Buurt     ,1.6,50.3,48.8,13,13.1,41.3,84.8,7.1,5.2,25.2,21.2,2.2,19.7,43,4.4,39.6,7.4,22.8,88,52.3,58.8,1.9,2.7,2.7,23.9
459,157451,53115,MW00000,BU04840104,2020JJ00,Alphen aan den Rijn                     ,Buurt     ,1.7,54.5,44.1,10,11.2,32.4,89.9,8.3,6.8,25.2,20.7,1.9,19.4,39.1,3.1,35.3,5.9,18.8,89.1,52.7,66.2,1.7,2.6,2,21.7
460,157454,53115,MW00000,BU04840105,2020JJ00,Alphen aan den Rijn                     ,Buurt     ,1.9,45.2,53.6,17.4,20.7,46.1,77.4,8.1,5.9,30.3,27.5,4.4,25.8,50.8,7.4,48.5,12,30.4,81.1,48.9,49.1,3.6,4.6,6.2,30.7
461,157457,53115,MW00000,BU04840106,2020JJ00,Alphen aan den Rijn                     ,Buurt     ,2,46.9,52.5,16.8,20.6,46,77.4,7.8,5.3,29.8,27.1,4.7,25.4,51.7,8.2,49.4,13,31.9,81.2,51.3,49.4,3.8,5.1,6.2,30.9
462,157460,53115,MW00000,BU04840107,2020JJ00,Alphen aan den Rijn                     ,Buurt     ,1.4,46.3,53.2,15.6,18.6,44.4,79.7,8.3,7.3,30.3,27,3.4,25.3,45.2,5.1,46.4,10.8,27.2,83.5,49.9,46.8,3.3,4.8,4.6,31.4
463,157463,53115,MW00000,BU04840108,2020JJ00,Alphen aan den Rijn                     ,Buurt     ,2.1,46.2,53,17.4,21.3,51.1,70.5,7.4,5.1,30,27.9,5.4,26.1,54.4,9.1,52.8,14.5,35.3,79.2,50.3,47.8,4.6,6.5,7.9,34.1
464,157466,53115,MW00000,BU04840109,2020JJ00,Alphen aan den Rijn                     ,Buurt     ,2.1,50.7,48.2,13.9,14.4,43.3,80.9,7.5,5.3,25.5,21.4,2.7,20,46.4,5.6,43.2,9.3,26.7,85.8,50.9,58.2,2.2,3.7,3.7,25.8
465,157469,53115,MW00000,BU04840110,2020JJ00,Alphen aan den Rijn                     ,Buurt     ,1.9,49.7,49.3,13.7,16.5,38.6,85.6,8.4,6.6,26.5,22.8,2.7,21.4,46.2,5.3,42.6,8.9,25.3,86.2,52.8,58.7,2.2,3.6,3.3,26
466,157472,53115,MW00000,BU04840111,2020JJ00,Alphen aan den Rijn                     ,Buurt     ,1.7,55,43.8,11.4,14.5,36.2,89,7.6,5.7,21.4,17.4,1.9,16,45.2,4.4,37,6.3,21.6,89.9,54.6,61.2,1.5,2.3,2.2,20.5
467,157475,53115,MW00000,WK048402  ,2020JJ00,Alphen aan den Rijn                     ,Wijk      ,2.1,46.7,52,16.7,21.2,47.1,75.7,7.7,5.6,29.8,27.2,4.7,25.4,52.2,8.4,50,12.8,32.2,80.4,52,49.1,4.2,5.7,6.9,31.7
468,157478,53115,MW00000,BU04840201,2020JJ00,Alphen aan den Rijn                     ,Buurt     ,1.9,56,42.8,10.4,11.6,37,86.7,8.4,6.9,24.8,20.8,2.3,19.3,41.3,3.6,36.9,6.2,18.6,89.2,55.6,58.4,1.8,2.8,2.4,23
469,157481,53115,MW00000,BU04840202,2020JJ00,Alphen aan den Rijn                     ,Buurt     ,2.1,47.2,51.9,16.9,24.2,46,76.5,8.7,6.3,31.7,29.3,5.5,27.6,54.6,9.6,54.4,15.7,36.7,79,50.2,48.5,4.8,5.9,7.3,35.6
470,157484,53115,MW00000,BU04840203,2020JJ00,Alphen aan den Rijn                     ,Buurt     ,2,47.4,51.4,15.8,19.2,42.2,82.3,8.1,6.2,29.8,26.6,4.1,25.1,49.7,6.9,46.5,10.8,28.9,82.3,52.3,51.8,3.2,4.3,5.3,29
471,157487,53115,MW00000,BU04840204,2020JJ00,Alphen aan den Rijn                     ,Buurt     ,2,46.6,52,16.3,19.6,44.3,80,7.9,5.8,28.6,25.6,3.8,24,49.8,6.9,46.3,10.7,28.6,82.5,52.9,51.8,3.2,4.7,5.5,28.9
472,157490,53115,MW00000,BU04840205,2020JJ00,Alphen aan den Rijn                     ,Buurt     ,1.9,49.7,49.2,14,17.9,37.5,87.1,8.1,6.1,26.7,22.5,2.8,21,46.8,5.6,43.6,9.1,26.4,85.9,53.5,56,2.2,3.5,3.5,26.3
473,157493,53115,MW00000,BU04840206,2020JJ00,Alphen aan den Rijn                     ,Buurt     ,2.1,43.3,55.1,19.9,23.2,53.4,67.6,7.2,5.5,34,32.5,6.5,30.6,55.4,10.4,54,15.3,35.7,75.2,51,44.5,5.7,8,10.6,35.3
474,157496,53115,MW00000,BU04840207,2020JJ00,Alphen aan den Rijn                     ,Buurt     ,2,47.3,51.3,15.9,19.4,46.3,77.1,7.5,5.5,27.4,24.5,3.7,22.9,49.9,7,46.4,10.7,28.1,82.6,53.3,50.3,3.4,5.1,5.1,29.3
475,157499,53115,MW00000,BU04840208,2020JJ00,Alphen aan den Rijn                     ,Buurt     ,2,48.5,50.3,15.7,22.1,41.9,81.4,8.4,6,28.4,25.1,4.2,23.4,51.6,7.6,47.8,11.2,30.5,82.3,52.1,51,3.3,4.7,5.3,29.4
476,157502,53115,MW00000,BU04840209,2020JJ00,Alphen aan den Rijn                     ,Buurt     ,2.9,58.1,39.9,12.5,31.9,29.8,87.6,13.4,7.8,26.5,24.1,5.3,21.9,62.1,11.6,54.1,14.6,39.8,81.4,54.6,60.1,3.5,4,5.4,30.9
