underweight,overweight,severe_overweight,drinker,heavy_drinker,severe_drinker,one_or_more_long-term_conditions,restricted_because_of_health,long-term_illnesses_and-limited,moderate_high-risk_anxiety_depression,lonely,very_serious_lonely,emotionally_lonely,experienced_health_good_very_good,weekly_athletes,visual_restriction,motor_restriction,socially_lonely,normal_weight,complies_with_alcohol_directive,severely_restricted-due_to_health,comply_with_exercise_guideline,high-risk_anxiety_depression,hearing_restriction,big_small,smoker_p
1.6,47.1,11.9,88.9,8.9,8.0,27.2,23.4,21.5,38.6,41.5,9.3,22.2,86.9,57.6,3.6,3.0,26.4,52.1,32.6,2.9,52.9,3.4,2.1,0,14.1
1.9,49.1,13.5,85.1,11.5,8.7,28.8,28.0,26.6,49.6,48.7,13.3,31.6,81.7,47.2,4.6,4.5,32.2,48.6,32.8,4.5,49.3,9.4,4.2,0,27.4
2.0,49.0,15.1,81.8,8.1,6.5,30.3,26.8,25.0,51.3,52.4,13.4,33.9,81.8,50.0,4.1,5.3,32.5,49.5,42.6,4.0,49.9,7.6,3.4,0,22.0
2.1,51.0,17.0,76.3,8.3,6.0,29.7,27.4,25.6,52.8,52.6,14.2,34.7,80.2,47.5,5.9,6.8,33.4,47.7,46.6,4.7,49.8,8.8,4.3,0,22.4
2.3,50.9,16.5,81.4,8.6,5.9,28.7,26.0,24.1,52.3,51.2,13.1,33.6,81.5,48.1,4.6,5.3,31.7,47.6,42.6,4.3,49.6,8.2,3.7,0,22.3
2.3,51.2,18.3,79.3,9.6,8.1,35.5,33.8,32.1,55.4,54.5,16.0,37.5,75.5,45.6,6.2,9.7,34.5,47.4,44.0,7.5,48.4,10.3,5.0,0,26.7
2.3,48.9,16.2,80.1,9.0,6.4,29.0,26.9,25.1,54.2,50.8,13.0,33.9,80.7,49.2,5.0,6.4,31.1,49.0,42.8,4.5,51.8,9.1,3.8,0,24.1
2.1,46.3,13.5,85.0,8.5,6.5,28.2,23.9,22.4,47.7,45.3,10.2,28.2,83.9,54.9,3.8,4.3,27.6,52.1,38.6,3.6,54.1,6.4,2.8,0,18.6
2.6,43.5,13.4,82.8,10.0,6.6,27.0,24.2,22.1,55.1,51.5,13.0,35.5,82.3,56.3,4.2,5.0,30.6,54.0,38.9,4.0,53.8,9.1,3.4,0,25.4
2.3,45.8,13.2,86.6,8.6,5.8,25.1,21.6,19.8,48.2,44.4,9.2,27.1,85.8,56.1,3.5,3.4,25.8,52.5,37.8,2.7,54.4,6.0,2.4,0,19.0
1.7,48.8,13.2,85.1,7.6,5.3,25.9,22.3,20.4,44.1,41.8,8.5,24.5,86.7,56.6,3.1,3.4,24.9,50.5,39.6,2.9,51.9,5.0,2.3,0,14.4
2.0,47.1,14.2,84.2,8.5,6.2,26.7,23.4,21.9,48.8,44.6,9.8,27.4,84.5,54.7,3.9,4.5,26.7,51.2,39.7,3.7,53.1,6.7,2.8,0,19.6
2.1,49.7,15.8,81.9,9.2,6.2,28.2,25.8,24.1,52.1,50.6,12.5,33.1,81.9,50.5,4.5,5.2,30.7,48.8,41.2,4.0,50.8,7.9,3.3,0,23.0
2.0,47.4,14.0,85.7,8.4,5.9,26.8,23.5,22.0,48.1,45.0,9.6,27.5,84.9,55.8,3.6,4.0,26.6,51.3,38.7,3.2,53.4,6.1,2.5,0,18.4
1.9,46.5,11.6,88.6,7.8,5.8,25.2,21.4,20.1,43.1,38.9,7.2,21.9,88.2,60.0,2.8,2.5,22.6,52.7,36.4,2.2,54.4,4.2,1.9,0,13.3
1.9,48.4,13.3,86.6,10.0,8.2,26.1,22.7,21.1,42.2,40.8,7.3,21.7,86.7,54.7,3.8,3.2,25.0,50.6,34.0,2.7,49.6,4.5,2.4,0,17.6
2.0,41.5,7.6,87.5,8.9,6.6,19.1,16.7,15.3,39.0,35.1,4.8,17.2,91.3,51.2,2.1,1.5,21.7,57.8,33.9,1.6,52.9,2.4,1.6,0,10.7
2.0,49.4,14.1,84.6,9.0,5.9,24.9,22.0,20.5,47.0,45.0,9.9,25.2,85.7,48.1,3.9,3.8,28.6,49.1,38.2,2.8,51.2,6.0,2.9,0,19.9
2.3,47.3,15.1,80.0,9.1,6.0,29.1,26.4,24.4,56.0,53.8,14.8,37.2,80.6,53.4,4.9,5.9,32.9,50.9,42.9,4.8,51.0,9.4,3.9,0,24.4
2.0,46.9,12.5,86.9,7.9,5.6,25.7,21.2,19.6,43.7,40.6,7.7,23.3,87.3,59.1,3.3,3.1,24.0,52.0,38.4,2.4,53.1,4.8,2.1,0,14.2
2.0,48.1,13.8,82.8,7.7,5.0,25.5,22.2,20.7,47.1,43.3,9.3,26.3,85.5,55.8,4.0,4.1,25.8,50.8,42.2,3.1,52.1,5.9,2.7,0,16.3
1.9,46.8,12.1,86.6,7.6,5.6,25.5,20.9,19.7,44.0,40.1,7.7,23.1,87.3,59.2,3.2,2.9,23.8,52.2,39.1,2.4,54.2,4.6,1.9,0,13.9
2.0,45.7,12.2,87.1,8.4,5.9,25.4,21.3,19.9,45.3,41.1,7.7,23.9,87.0,59.4,3.0,3.0,23.9,53.1,37.7,2.4,53.7,4.9,2.0,0,15.6
1.8,47.8,13.8,78.4,6.6,4.3,24.7,21.3,19.7,47.5,44.7,10.3,27.7,85.7,56.0,3.7,4.3,26.9,51.0,44.9,3.0,51.9,6.2,3.1,0,15.6
2.0,49.7,14.7,80.1,7.0,4.8,26.4,23.0,21.5,48.0,46.1,10.9,29.1,84.7,54.4,4.0,4.3,28.4,49.1,44.4,3.2,50.5,6.6,3.0,0,16.8
2.0,41.4,9.1,90.2,7.8,5.2,21.5,16.7,15.4,39.3,35.8,5.6,19.2,91.0,67.6,2.5,1.6,20.2,57.3,34.5,1.6,54.5,3.4,1.3,0,10.5
2.0,47.4,12.6,84.7,7.8,5.4,25.3,21.5,19.8,43.5,41.7,8.3,24.4,87.1,58.3,3.2,3.1,24.9,51.4,40.7,2.5,52.9,4.9,2.2,0,13.3
2.1,48.5,13.2,86.2,7.9,5.8,25.6,21.8,20.4,43.5,40.5,7.7,23.2,87.1,58.1,3.6,3.0,24.0,50.4,38.6,2.4,53.4,4.7,2.1,0,13.4
1.8,56.7,20.4,81.3,8.5,6.7,32.7,33.5,31.8,54.0,49.9,13.4,30.7,77.6,39.1,5.4,7.8,32.5,41.4,40.4,8.5,48.1,10.0,5.5,0,25.6
1.9,47.0,11.3,87.0,9.3,7.4,24.2,20.3,19.2,39.9,37.3,5.8,18.2,89.1,51.9,2.9,2.2,23.3,52.1,34.7,1.9,49.6,2.9,1.8,0,13.4
2.2,46.5,12.9,83.5,8.1,5.6,25.4,22.4,20.9,43.4,39.1,7.9,22.2,87.2,53.7,2.9,3.6,24.4,52.1,39.4,2.5,51.5,5.0,2.4,0,15.9
1.9,47.6,12.9,84.3,7.4,5.3,25.0,21.1,19.6,43.5,38.4,7.5,21.8,87.2,57.1,2.9,3.7,23.0,51.6,40.3,2.5,51.9,4.7,2.6,0,15.1
1.9,51.1,15.3,82.8,7.2,5.4,27.5,23.7,22.3,46.6,41.0,9.1,23.8,85.0,51.6,3.3,4.5,25.7,47.3,41.7,3.4,50.3,6.1,3.0,0,17.7
1.8,47.0,12.7,88.2,9.2,6.6,21.8,17.8,16.4,37.8,36.6,5.9,18.6,90.0,57.8,2.8,2.1,22.6,51.6,35.9,1.8,51.1,3.2,1.9,0,16.4
2.9,42.5,10.0,88.1,9.0,7.3,26.8,22.4,20.7,42.9,38.2,6.2,18.1,88.1,52.9,2.3,2.4,22.8,53.7,33.7,2.4,51.0,3.4,2.2,0,13.5
1.9,47.0,11.4,83.8,8.7,6.8,26.1,19.4,18.3,36.4,34.7,4.9,17.1,90.7,47.8,2.6,1.7,20.9,51.2,40.9,1.6,52.8,2.6,1.7,0,11.0
1.9,46.3,13.5,84.5,10.3,7.1,26.8,24.5,22.9,49.5,41.7,8.9,23.6,85.8,47.4,3.3,3.8,24.6,51.6,36.4,3.1,47.9,5.9,2.7,0,17.3
2.0,42.9,10.0,87.2,9.7,9.1,21.9,17.8,17.0,38.9,37.1,4.7,17.1,90.0,56.9,2.5,2.7,22.6,55.5,32.5,1.8,49.0,3.5,1.7,0,11.5
2.2,43.5,10.1,87.6,9.6,7.4,23.0,19.5,17.9,41.0,36.5,5.6,17.9,89.6,54.9,2.7,2.1,22.0,54.8,33.8,2.1,50.9,3.2,2.0,0,13.8
2.4,44.0,9.5,87.5,10.0,8.6,21.5,19.4,17.2,41.0,36.1,5.4,17.3,89.7,53.0,2.6,2.1,22.4,54.7,32.3,2.3,51.1,3.5,2.2,0,14.2
2.2,44.5,10.4,86.4,9.1,6.6,22.8,19.6,18.2,41.3,37.2,5.9,18.2,89.6,52.0,2.7,2.3,22.5,54.1,34.8,2.1,51.0,3.4,2.4,0,13.6
2.0,47.0,12.0,86.8,9.0,6.5,23.8,20.5,18.5,42.1,37.8,6.8,20.0,88.1,57.5,2.8,2.6,23.0,51.7,34.8,2.4,50.9,4.0,2.2,0,15.2
2.0,46.7,12.8,85.0,7.6,5.2,25.5,22.0,20.3,45.6,42.7,9.1,25.1,86.4,58.2,3.1,3.4,25.9,52.2,38.1,2.9,50.9,5.7,2.5,0,17.1
1.9,47.8,13.4,85.4,8.4,6.1,26.3,23.0,21.3,45.0,41.6,8.4,23.5,86.2,56.9,3.2,3.7,25.5,50.8,37.6,3.1,50.2,5.5,2.7,0,16.5
2.0,50.7,15.5,78.7,9.0,6.6,28.5,26.5,24.7,48.8,45.3,10.6,26.5,83.2,50.4,4.2,5.4,28.6,48.0,41.3,4.4,47.7,7.2,3.7,0,20.2
2.2,49.1,15.0,82.7,7.8,5.2,27.2,24.4,22.6,50.2,48.9,12.6,31.7,83.7,51.5,4.2,4.7,30.7,49.3,39.6,3.7,50.0,7.6,3.3,0,21.0
2.1,51.5,16.6,69.7,6.7,4.5,28.0,26.0,24.4,50.7,46.1,11.8,29.0,81.9,49.3,4.9,6.0,29.7,46.7,48.9,4.2,48.4,8.0,4.3,0,18.9
1.9,50.3,15.0,77.3,7.0,4.7,26.1,23.2,21.7,47.4,43.4,9.7,26.7,85.2,52.6,3.8,4.1,26.8,48.3,45.8,3.2,49.6,6.4,3.2,0,16.9
2.0,49.0,15.1,80.6,7.6,5.1,27.2,24.3,22.4,50.1,47.2,11.3,29.9,83.6,53.7,3.8,4.9,28.6,50.1,42.2,3.6,49.4,7.6,3.6,0,20.5
2.1,49.9,15.7,77.4,7.3,4.9,28.4,25.7,24.0,49.4,46.4,11.4,29.0,82.7,52.7,4.4,5.6,29.1,49.0,45.3,4.0,49.5,7.6,3.7,0,18.6
